m,n_dus_edges,n_skip,C,L,version_ref,n_dependencies,C_spine,L_spine,C_spine_sd,L_spine_sd,C_fwd,L_fwd,m_fwd
54,722,669,0.6183315038419319,1.1851851851851851,RrHg5wJk4cUR7pz,13053,0.6126728869374314,1.1851851851851847,0.0015036716594174643,4.440892098500626e-16,,,
192,1524,1333,0.321880650994575,7.494791666666667,0tZPN9ARwRL605i,14557,0.27527426160337554,7.417447916666667,0.0028048435404129817,0.11758929960279711,0.42442576172363156,3.2199198257026715,131.2
112,1968,1857,0.509478527607362,1.2589285714285714,d2FntYe27ZkC6wx,17703,0.4876809815950921,1.2598214285714289,0.0016808136587108105,0.002678571428571419,,,
152,1722,1571,0.6619449843025863,7.197368421052632,KTeAvaFJ0EqEz7Q,16879,0.6383988638062491,3.3319078947368417,0.0013509320953750768,0.06530992991868374,,,
192,1525,1334,0.3241878574035771,7.53125,Je3v70oaTq8FkGh,14563,0.275930770166687,7.517447916666666,0.0014769013393404373,0.07320024840932927,,,
71,282,212,0.6622807017543859,28.014084507042252,gPpJaMI4OjgjwHT,20048,0.6566337719298245,20.433098591549296,0.00469414797381395,1.5360113886021454,,,
112,1986,1875,0.5005284295075036,1.2321428571428572,LEo3cEmOIDwK2bR,17100,0.4753268713953559,1.233482142857143,0.0009999563745904081,0.005837811085099095,,,
55,243,189,0.7370417193426043,21.436363636363637,2Com6z9dD2RlKGL,20860,0.7309102402022757,16.650909090909092,0.005186009596957939,2.2519310354515194,,,
68,972,905,0.6607234573336268,1.3235294117647058,TklnB761pCjIST6,15923,0.6499523075794263,1.2963235294117645,0.0019366290681829292,0.005251050315105019,,,
176,1975,1800,0.4695216629100927,2.0738636363636362,xMAKif4b02naqUs,12899,0.4402629601803155,1.9644886363636362,0.004110676198235941,0.03583939402746925,,,
68,998,931,0.6629503170510765,1.4411764705882353,ESz1ruuer8n3boL,19021,0.6560239704550206,1.2794117647058827,0.001256665845673058,4.440892098500626e-16,,,
112,1975,1864,0.5106843468983386,1.2589285714285714,8m0ZjH4r8oAR2ct,17648,0.48906569120560894,1.2589285714285716,0.0013947369015716133,2.220446049250313e-16,,,
80,810,731,0.642566510172144,2.5625,2ePa9EFouyL5jps,14249,0.6020187793427231,1.471875,0.0028360167895277654,0.027350445608801358,,,
112,1979,1868,0.5064207899701784,1.25,91vl8pM6cG4bTFz,17737,0.4845322865315563,1.25,0.0013900046206392304,0.0,,,
112,1935,1824,0.5001424817148465,1.2589285714285714,hnjb8wvDRu6uK0E,16659,0.4727384985593515,1.242410714285714,0.0014734341367990617,0.005837811085099095,,,
112,1960,1849,0.5091963955067276,1.2589285714285714,W4D4N0eByQVAQQC,17461,0.487066411554129,1.2589285714285716,0.0013688904063712789,2.220446049250313e-16,,,
103,2499,2397,0.5210901467505241,1.6504854368932038,udht1IfPBuLngMS,15460,0.5166027253668763,1.6519417475728155,0.0011972003690423982,0.00828093306273397,0.7815048448970691,1.508806994592709,49.9
112,1971,1860,0.509775768314291,1.2589285714285714,49z87NhSPW6FsI6,17636,0.4875954664874443,1.2620535714285717,0.0014034549846365014,0.006484749574256245,0.559995487615103,1.2974137140271034,77.9
112,1951,1840,0.5092820816823188,1.2321428571428572,V3G34vlroHI93N1,17208,0.4869411250819008,1.2383928571428569,0.0023277051562642557,0.009406833707904197,0.5595019213586775,1.2899364911444815,77.4
60,781,722,0.609136546184739,1.2,ryX7Tzp3B7lB4Jj,14965,0.5982730923694779,1.1349999999999998,0.001657265302177626,0.004999999999999983,,,
60,801,742,0.6247334754797441,1.2,gIHG8LzwoU7g245,15177,0.6143099437875558,1.1341666666666665,0.0016172461947720734,0.0036324157862838813,,,
112,1971,1860,0.509775768314291,1.2589285714285714,2Dd2Uasg9QPFZ3i,17631,0.48782000366591316,1.2602678571428574,0.0014504344552975074,0.0031881376913137608,,,
112,1965,1854,0.507768361581921,1.2589285714285714,CG1ZaxFPvUI0v0v,17511,0.48462754851387874,1.2602678571428574,0.0012293609022675364,0.0031881376913137608,,,
112,1958,1847,0.5091848095002474,1.2589285714285714,FhBPi1o6M8Onz23,17457,0.48756030430479963,1.2598214285714289,0.0013732663260139968,0.0026785714285714195,,,
